label,point_count,center,number_candidates
341,77608,[2217 4610],"[(2157, 2212, 4668, 4742), (2303, 2358, 4517, 4592)]"
342,27138,[2047 4932],"[(1848, 1903, 4887, 4962)]"
344,8505,[1820 2965],"[(1775, 1830, 2919, 2992)]"
345,5896,[1870 5188],"[(1874, 1928, 5154, 5215)]"
347,15080,[1883 5118],"[(1861, 1915, 5074, 5148)]"
348,17195,[1892 4844],"[(1825, 1880, 4787, 4850)]"
349,7625,[1889 4718],"[(1929, 1983, 4662, 4729)]"
350,7798,[1878 3793],"[(1870, 1925, 3762, 3834)]"
351,71397,[2082 5539],"[(2029, 2083, 5520, 5594)]"
353,2146,[1797 2307],"[(1771, 1819, 2278, 2347)]"
354,40707,[2167 5310],"[(1862, 1916, 5287, 5361)]"
355,5698,[1869 5976],"[(1850, 1905, 5908, 5971)]"
356,27443,[2308 5889],"[(2242, 2296, 5843, 5904), (2338, 2392, 5843, 5908)]"
357,27062,[1915 6207],"[(1862, 1916, 6154, 6228)]"
358,9135,[1849 3235],"[(1796, 1849, 3194, 3266)]"
359,21068,[1915 5756],"[(1909, 1964, 5785, 5849)]"
361,64103,[2037 4159],"[(1993, 2048, 4111, 4188)]"
363,4005,[1860 5501],"[(1806, 1861, 5469, 5530)]"
364,10673,[1936 5358],"[(1858, 1912, 5340, 5403)]"
368,20329,[2006 2004],"[(1964, 2019, 1980, 2055)]"
369,65293,[1923  242],"[(1905, 1959, 170, 233)]"
370,17301,[2018 3669],"[(1843, 1898, 3640, 3715)]"
371,14732,[1939 2233],"[(1947, 2001, 2194, 2270)]"
372,273,[1829 3176],[]
373,2413,[1850  624],"[(1823, 1878, 584, 654)]"
377,2567,[1876 4445],"[(1841, 1891, 4419, 4473)]"
378,8989,[1950 4327],"[(1848, 1902, 4219, 4288)]"
379,23184,[2009 4812],"[(2073, 2128, 4793, 4867)]"
381,4073,[1880 2938],"[(1841, 1896, 2892, 2968)]"
382,5146,[1977 4479],"[(1964, 2015, 4444, 4515)]"
383,13947,[1925 3148],"[(1848, 1903, 3183, 3257)]"
386,4435,[1932 5009],"[(1898, 1946, 4985, 5049)]"
388,3330,[1938 2269],"[(1887, 1934, 2238, 2297)]"
390,48544,[2224 4599],"[(2161, 2215, 4564, 4640)]"
392,14318,[2032 6232],"[(2023, 2078, 6168, 6242)]"
394,4531,[1923 4335],"[(1901, 1948, 4304, 4370)]"
396,17602,[2035 5036],"[(1986, 2041, 5005, 5079)]"
398,8778,[1972 1446],"[(1903, 1957, 1412, 1475)]"
400,19355,[2031 3946],"[(1891, 1946, 3895, 3970)]"
401,5165,[1927  498],"[(1908, 1962, 472, 546)]"
402,57347,[2165 6135],"[(2087, 2141, 6125, 6199), (2357, 2387, 6112, 6162)]"
403,46245,[2024 1749],"[(2026, 2080, 1777, 1840)]"
404,3277,[1944 4785],"[(1910, 1965, 4749, 4818)]"
405,22002,[2050 3099],"[(1967, 2022, 3116, 3190)]"
407,4965,[1969 3236],"[(1934, 1989, 3206, 3282)]"
408,6649,[2033 4843],"[(1985, 2036, 4782, 4853)]"
410,172945,[2358 3766],"[(2185, 2240, 3803, 3877)]"
415,3534,[1999 1742],"[(1991, 2037, 1699, 1765)]"
416,13558,[2058 1595],"[(2054, 2109, 1526, 1590)]"
417,29097,[2041  256],"[(2042, 2096, 30, 104)]"
418,77407,[2105  727],"[(2121, 2175, 585, 659)]"
420,1399757,[2618  940],"[(2325, 2379, 267, 342), (2477, 2532, 899, 974), (2520, 2574, 1533, 1608), (2739, 2794, 817, 892), (2747, 2802, 368, 442), (2868, 2923, 1717, 1791)]"
422,15868,[2066 5325],"[(2073, 2127, 5280, 5343)]"
423,3948,[1984 5117],"[(1958, 2013, 5088, 5152)]"
424,2405,[1976 3074],"[(1950, 2000, 3041, 3110)]"
427,1725,[2009 3647],"[(1981, 2025, 3629, 3663)]"
428,64736,[2299 1593],"[(2186, 2241, 1493, 1567)]"
429,7449,[2125 3610],"[(2035, 2090, 3577, 3649)]"
431,31170,[2218 2522],"[(2029, 2084, 2482, 2558)]"
432,57271,[2521 2754],"[(2317, 2371, 2713, 2787), (2737, 2791, 2745, 2820)]"
436,67087,[2807 2684],"[(2514, 2568, 2682, 2759), (3238, 3293, 2592, 2669)]"
439,43177,[2184 5991],"[(2227, 2281, 5901, 5975)]"
440,3773,[2107 2987],"[(2113, 2166, 2946, 3017)]"
442,5278,[2070 5116],"[(2041, 2093, 5082, 5139)]"
445,20307,[2086 1257],"[(2042, 2096, 1180, 1254)]"
446,5528,[2081 1484],"[(2061, 2114, 1456, 1518)]"
447,7064,[2067  763],"[(2036, 2091, 728, 791)]"
448,2541,[2039 5190],"[(2011, 2066, 5159, 5223)]"
451,15473,[2152 3114],"[(2152, 2207, 3048, 3125)]"
452,5564,[2174 1696],"[(2178, 2233, 1666, 1730)]"
453,51805,[2344 5096],"[(2395, 2450, 5036, 5099)]"
454,39034,[2306 2262],"[(2335, 2389, 2155, 2231)]"
455,38672,[2269 3450],"[(2354, 2409, 3396, 3473)]"
456,2430,[2078 3092],"[(2053, 2102, 3059, 3128)]"
